2024-05-19;22:47:22.403;[0] PING;(проигнорировано);(проигнорировано)
2024-05-19;22:47:22.590;[0] PING;22:47:22.728;[0/1] PONG (1)
2024-05-19;22:47:23.951;[1] PING;22:47:24.812;[1/2] PONG (2)
2024-05-19;22:47:24.968;[1] PING;22:47:25.433;[4/3] PONG (1)
2024-05-19;22:47:26.436;[2] PING;(проигнорировано);(проигнорировано)
2024-05-19;22:47:26.140;[2] PING;22:47:26.807;[5/5] PONG (1)
2024-05-19;22:47:27.521;[3] PING;(проигнорировано);(проигнорировано)
2024-05-19;22:47:27.848;[4] PING;22:47:28.722;[6/7] PONG (2)
2024-05-19;22:47:28.815;[3] PING;22:47:29.222;[7/8] PONG (1)
2024-05-19;22:47:29.910;[5] PING;22:47:30.587;[10/9] PONG (2)
2024-05-19;22:47:30.142;[4] PING;22:47:31.034;[11/10] PONG (1)
2024-05-19;22:47:31.390;[5] PING;22:47:31.638;[12/11] PONG (1)
2024-05-19;22:47:31.669;[6] PING;22:47:31.811;[13/12] PONG (2)
2024-05-19;22:47:32.878;[7] PING;22:47:33.440;[14/13] PONG (2)
2024-05-19;22:47:33.441;[8] PING;22:47:33.549;[15/14] PONG (2)
2024-05-19;22:47:32.943;[6] PING;22:47:33.610;[16/15] PONG (1)
2024-05-19;22:47:34.543;[7] PING;22:47:35.068;[17/16] PONG (1)
2024-05-19;22:47:34.606;[9] PING;22:47:35.535;[20/17] PONG (2)
2024-05-19;22:47:35.069;[8] PING;22:47:35.628;[21/18] PONG (1)
2024-05-19;22:47:36.501;[10] PING;(проигнорировано);(проигнорировано)
2024-05-19;22:47:37.451;[9] PING;22:47:37.718;[22/20] PONG (1)
2024-05-19;22:47:37.719;[11] PING;22:47:38.154;[23/21] PONG (2)
2024-05-19;22:47:39.012;[10] PING;22:47:39.242;[24/22] PONG (1)
2024-05-19;22:47:39.165;[12] PING;22:47:39.366;[25/23] PONG (2)
2024-05-19;22:47:40.146;[13] PING;22:47:40.784;[28/24] PONG (2)
2024-05-19;22:47:40.785;[14] PING;(проигнорировано);(проигнорировано)
2024-05-19;22:47:40.549;[11] PING;22:47:40.908;[29/26] PONG (1)
2024-05-19;22:47:42.216;[12] PING;22:47:42.666;[30/27] PONG (1)
